Category,Id
0,0
3,1
6,2
0,3
6,4
6,5
8,6
6,7
5,8
0,9
3,10
6,11
6,12
6,13
8,14
5,15
6,16
3,17
6,18
6,19
6,20
6,21
6,22
0,23
5,24
5,25
8,26
6,27
6,28
0,29
5,30
5,31
5,32
8,33
3,34
0,35
5,36
6,37
6,38
8,39
6,40
0,41
6,42
6,43
6,44
0,45
3,46
3,47
6,48
3,49
6,50
6,51
5,52
3,53
0,54
5,55
5,56
6,57
6,58
3,59
6,60
5,61
6,62
6,63
3,64
0,65
0,66
5,67
5,68
6,69
5,70
3,71
6,72
6,73
5,74
5,75
0,76
6,77
0,78
3,79
5,80
8,81
0,82
6,83
6,84
8,85
5,86
6,87
0,88
6,89
3,90
6,91
6,92
6,93
6,94
3,95
6,96
5,97
5,98
3,99
5,100
6,101
5,102
6,103
8,104
6,105
3,106
8,107
6,108
5,109
5,110
5,111
3,112
6,113
5,114
5,115
0,116
6,117
5,118
3,119
0,120
5,121
6,122
6,123
5,124
0,125
8,126
5,127
0,128
3,129
3,130
5,131
5,132
6,133
5,134
6,135
6,136
6,137
0,138
6,139
3,140
3,141
3,142
6,143
6,144
6,145
6,146
0,147
3,148
3,149
6,150
3,151
3,152
3,153
5,154
3,155
3,156
3,157
5,158
5,159
6,160
5,161
5,162
3,163
6,164
6,165
0,166
6,167
5,168
6,169
6,170
8,171
5,172
0,173
6,174
6,175
6,176
5,177
5,178
5,179
5,180
3,181
3,182
5,183
3,184
5,185
5,186
6,187
0,188
5,189
6,190
5,191
3,192
6,193
0,194
0,195
6,196
6,197
6,198
5,199
0,200
6,201
6,202
5,203
5,204
8,205
6,206
6,207
0,208
5,209
6,210
6,211
5,212
0,213
5,214
5,215
5,216
6,217
6,218
8,219
5,220
5,221
5,222
3,223
6,224
6,225
5,226
5,227
8,228
3,229
5,230
5,231
6,232
6,233
5,234
5,235
6,236
0,237
5,238
6,239
3,240
5,241
5,242
5,243
0,244
6,245
3,246
5,247
3,248
3,249
8,250
0,251
6,252
6,253
6,254
8,255
6,256
5,257
